Product Card Id,Product Name,Product Category Id,Category Name,Product Price,Department Id,Department Name
893,Team Golf Pittsburgh Steelers Putter Grip,40,Accessories,24.98999977,6,Outdoors
924,Glove It Urban Brick Golf Towel,41,Trade-In,15.98999977,6,Outdoors
905,Team Golf Texas Longhorns Putter Grip,40,Accessories,24.98999977,6,Outdoors
564,Nike Men's Deutschland Weltmeister Winners Bl,26,Girls' Apparel,30.0,5,Golf
885,Team Golf St. Louis Cardinals Putter Grip,40,Accessories,24.98999977,6,Outdoors
1363,Summer dresses,76,Women's Clothing,215.8200073,4,Apparel
1353,Porcelain crafts,66,Crafts,461.480011,4,Apparel
1357,Men's gala suit,70,Men's Clothing,210.8500061,4,Apparel
906,Team Golf Tennessee Volunteers Putter Grip,40,Accessories,24.98999977,6,Outdoors
886,Team Golf San Francisco Giants Putter Grip,40,Accessories,24.98999977,6,Outdoors
926,Glove It Imperial Golf Towel,41,Trade-In,15.98999977,6,Outdoors
116,Nike Men's Comfort 2 Slide,6,Tennis & Racquet,44.99000168,2,Fitness
235,Under Armour Hustle Storm Medium Duffle Bag,11,Fitness Accessories,34.99000168,3,Footwear
273,Under Armour Kids' Mercenary Slide,13,Electronics,27.98999977,3,Footwear
282,Under Armour Women's Ignite PIP VI Slide,13,Electronics,31.98999977,3,Footwear
359,Nike Men's Free TR 5.0 TB Training Shoe,16,As Seen on  TV!,99.98999786,3,Footwear
565,adidas Youth Germany Black/Red Away Match Soc,26,Girls' Apparel,70.0,5,Golf
572,TYR Boys' Team Digi Jammer,26,Girls' Apparel,39.99000168,5,Golf
804,Glove It Women's Imperial Golf Glove,36,Golf Balls,19.98999977,6,Outdoors
822,Titleist Pro V1x High Numbers Golf Balls,37,Electronics,47.99000168,6,Outdoors
835,Bridgestone e6 Straight Distance NFL Carolina,37,Electronics,31.98999977,6,Outdoors
276,Under Armour Women's Ignite Slide,13,Electronics,31.98999977,3,Footwear
823,Titleist Pro V1x High Numbers Personalized Go,37,Electronics,51.99000168,6,Outdoors
203,GoPro HERO3+ Black Edition Camera,10,Strength Training,399.9899902,3,Footwear
364,Total Gym 1400,17,Cleats,299.9899902,4,Apparel
1350,Children's heaters,63,Children's Clothing,357.1000061,4,Apparel
897,Team Golf New England Patriots Putter Grip,40,Accessories,24.98999977,6,Outdoors
37,adidas Kids' F5 Messi FG Soccer Cleat,3,Baseball & Softball,34.99000168,2,Fitness
172,Nike Women's Tempo Shorts,9,Cardio Equipment,30.0,3,Footwear
810,Glove It Women's Mod Oval Golf Glove,36,Golf Balls,19.98999977,6,Outdoors
821,Titleist Pro V1 High Numbers Personalized Gol,37,Electronics,51.99000168,6,Outdoors
93,Under Armour Men's Tech II T-Shirt,5,Lacrosse,24.98999977,2,Fitness
1347,Baby sweater,60,Baby ,59.08000183,4,Apparel
305,Mio ALPHA Heart Rate Monitor/Sport Watch,38,Kids' Golf Clubs,199.0,6,Outdoors
1004,Field & Stream Sportsman 16 Gun Fire Safe,45,Fishing,399.980011,7,Fan Shop
1346,Sports Books ,59,Books ,31.07999992,8,Book Shop
58,Diamondback Boys' Insight 24 Performance Hybr,4,Basketball,299.9899902,2,Fitness
311,Polar Loop Activity Tracker,38,Kids' Golf Clubs,109.9499969,6,Outdoors
303,Garmin Forerunner 910XT GPS Watch,38,Kids' Golf Clubs,399.9899902,6,Outdoors
1354,DVDs ,67,DVDs,164.3800049,9,Discs Shop
1348,CDs of rock,61,CDs ,11.28999996,9,Discs Shop
78,Nike Kids' Grade School KD VI Basketball Shoe,5,Lacrosse,99.98999786,2,Fitness
258,Nike Women's Free 5.0 TR FIT PRT 4 Training S,12,Boxing & MMA,94.98999786,3,Footwear
797,Hirzl Women's Soffft Flex Golf Glove,36,Golf Balls,17.98999977,6,Outdoors
981,The North Face Women's Recon Backpack,44,Hunting & Shooting,99.0,7,Fan Shop
1355,Lawn mower,68,Garden,532.5800171,6,Outdoors
135,Nike Dri-FIT Crew Sock 6 Pack,7,Hockey,22.0,2,Fitness
134,Nike Women's Legend V-Neck T-Shirt,7,Hockey,25.0,2,Fitness
845,Garmin Approach S4 Golf GPS Watch,38,Kids' Golf Clubs,299.9899902,6,Outdoors
982,insta-bed Neverflat Air Mattress,44,Hunting & Shooting,149.9900055,7,Fan Shop
625,Nike Men's Kobe IX Elite Low Basketball Shoe,29,Shop By Sport,199.9900055,5,Golf
1359,Adult dog supplies,72,Pet Supplies,84.40000153,11,Pet Shop
1356,First aid kit,69,Health and Beauty,293.0400085,12,Health and Beauty 
607,Garmin Approach S3 Golf GPS Watch,41,Trade-In,249.9900055,6,Outdoors
1358,Rock music,71,Music,260.6499939,9,Discs Shop
1362,Fighting video games,75,Video Games,39.75,9,Discs Shop
295,Fitbit The One Wireless Activity & Sleep Trac,38,Kids' Golf Clubs,99.94999695,6,Outdoors
127,Stiga Master Series ST3100 Competition Indoor,7,Hockey,329.9899902,2,Fitness
61,Diamondback Girls' Clarity 24 Hybrid Bike 201,4,Basketball,299.9899902,2,Fitness
35,adidas Brazuca 2014 Official Match Ball,3,Baseball & Softball,159.9900055,2,Fitness
858,GolfBuddy VT3 GPS Watch,38,Kids' Golf Clubs,199.9900055,6,Outdoors
860,Bushnell Pro X7 Jolt Slope Rangefinder,38,Kids' Golf Clubs,599.9899902,6,Outdoors
216,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,10,Strength Training,189.0,3,Footwear
19,Nike Men's Fingertrap Max Training Shoe,2,Soccer,124.9899979,2,Fitness
226,Bowflex SelectTech 1090 Dumbbells,11,Fitness Accessories,599.9899902,3,Footwear
208,SOLE E35 Elliptical,10,Strength Training,1999.98999,3,Footwear
793,Hirzl Women's Hybrid Golf Glove,36,Golf Balls,14.98999977,6,Outdoors
792,Hirzl Men's Hybrid Golf Glove,36,Golf Balls,14.98999977,6,Outdoors
786,TaylorMade 2014 Purelite Stand Bag,35,Golf Gloves,179.9900055,6,Outdoors
778,Bag Boy Beverage Holder,35,Golf Gloves,24.98999977,6,Outdoors
777,Bag Boy M330 Push Cart,35,Golf Gloves,79.98999786,6,Outdoors
775,Clicgear 8.0 Shoe Brush,35,Golf Gloves,9.989999771,6,Outdoors
773,Titleist Small Wheeled Travel Cover,35,Golf Gloves,249.9900055,6,Outdoors
771,Clicgear Rovic Cooler Bag,35,Golf Gloves,39.99000168,6,Outdoors
768,Titleist Club Glove Travel Cover,35,Golf Gloves,299.9899902,6,Outdoors
743,Ogio Race Golf Shoes,34,Golf Bags & Carts,169.9900055,6,Outdoors
730,LIJA Women's Argyle Golf Polo,33,Golf Shoes,80.0,6,Outdoors
728,LIJA Women's Eyelet Sleeveless Golf Polo,33,Golf Shoes,65.0,6,Outdoors
725,LIJA Women's Button Golf Dress,33,Golf Shoes,108.0,6,Outdoors
724,LIJA Women's Mid-Length Panel Golf Shorts,33,Golf Shoes,100.0,6,Outdoors
715,TaylorMade Women's RBZ SL Rescue,32,Golf Apparel,129.9900055,6,Outdoors
705,Cleveland Golf Women's 588 RTX CB Satin Chrom,32,Golf Apparel,119.9899979,6,Outdoors
703,Top Flite Women's 2014 XL Hybrid,32,Golf Apparel,19.98999977,6,Outdoors
691,MDGolf Pittsburgh Penguins Putter,31,Women's Golf Clubs,79.98999786,6,Outdoors
677,TaylorMade White Smoke IN-12 Putter,31,Women's Golf Clubs,99.98999786,6,Outdoors
671,Cleveland Golf Collegiate My Custom Wedge 588,31,Women's Golf Clubs,209.9900055,6,Outdoors
666,Merrell Men's All Out Flash Trail Running Sho,30,Men's Golf Clubs,109.9899979,6,Outdoors
652,Merrell Women's Grassbow Sport Waterproof Hik,30,Men's Golf Clubs,129.9900055,6,Outdoors
647,Merrell Women's Siren Mid Waterproof Hiking B,30,Men's Golf Clubs,134.9900055,6,Outdoors
646,Merrell Women's Grassbow Sport Hiking Shoe,30,Men's Golf Clubs,99.98999786,6,Outdoors
1361,Toys ,74,Toys,11.53999996,7,Fan Shop
1073,Pelican Sunstream 100 Kayak,48,Water Sports,199.9900055,7,Fan Shop
1059,Pelican Maverick 100X Kayak,48,Water Sports,349.9899902,7,Fan Shop
1014,O'Brien Men's Neoprene Life Vest,46,Indoor/Outdoor Games,49.97999954,7,Fan Shop
